,Endo_id,name,cytomer,sec_hormones,receptors,large_struct,substruct
0,ENC00038,follicular epithelium of thyroid gland,cy0027470,['ENH00123'],[],['ENC00145'],[]
1,ENC00083,mucosa of small intestine,cy0000837,['ENH00939'],[],"['ENC00601', 'ENC00365']","['ENC00152', 'ENC00450', 'ENC00288', 'ENC00420', 'ENC00216', 'ENC00294']"
2,ENC00104,parafollicular cell,cy0044766,"['ENH00103', 'ENH00617']",[],['ENC00145'],[]
3,ENC00114,neurohypophysis,cy0000467,['ENH00119'],[],"['ENC00020', 'ENC00053', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
4,ENC00117,pyloric part of stomach,cy0000791,['ENH00939'],[],"['ENC00132', 'ENC00601', 'ENC00365']","['ENC00152', 'ENC00597', 'ENC00465', 'ENC00276', 'ENC00493', 'ENC00469', 'ENC00201', 'ENC00473', 'ENC00216', 'ENC00283']"
5,ENC00129,spermatocyte,cy0011366,"['ENH00157', 'ENH01094']",[],"['ENC00601', 'ENC00579', 'ENC00140']",[]
6,ENC00162,cerebrospinal fluid,cy0018777,"['ENH00122', 'ENH00355', 'ENH00356', 'ENH00475', 'ENH00068']",[],[],"['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
7,ENC00192,ovarian follicle cell,cy0011386,"['ENH00120', 'ENH00073', 'ENH00696']",[],"['ENC00601', 'ENC00579', 'ENC00043', 'ENC00097']",[]
8,ENC00193,S cell,cy0045848,['ENH00163'],[],"['ENC00132', 'ENC00601', 'ENC00365']",[]
9,ENC00194,APUD amine precursor uptake and decarboxylation cell,cy0011207,"['ENH00063', 'ENH01121']",[],"['ENC00601', 'ENC00127', 'ENC00365', 'ENC00255']",[]
10,ENC00196,APUD-cell,cy0011224,['ENH00161'],[],"['ENC00601', 'ENC00127', 'ENC00365', 'ENC00255']",[]
11,ENC00252,enterochromaffin cell of gastrointestinal tract,cy0014549,"['ENH00219', 'ENH00161', 'ENH00166']",[],"['ENC00132', 'ENC00601', 'ENC00365', 'ENC00040', 'ENC00041']",[]
12,ENC00254,mucosa of large intestine,cy0000883,"['ENH00212', 'ENH00657']",[],"['ENC00122', 'ENC00171', 'ENC00601', 'ENC00365', 'ENC00221']","['ENC00152', 'ENC00288', 'ENC00450', 'ENC00420']"
13,ENC00255,mucosa of small intestine,cy0000837,"['ENH00212', 'ENH00273', 'ENH00939', 'ENH00657']",[],"['ENC00601', 'ENC00365']","['ENC00152', 'ENC00288', 'ENC00450', 'ENC00420', 'ENC00216', 'ENC00294']"
14,ENC00272,superior colliculus,cy0006198,"['ENH00243', 'ENH00479']",[],"['ENC00020', 'ENC00302', 'ENC00183', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
15,ENC00277,orbit right and left,cy0001354,['ENH00324'],[],['ENC00601'],"['ENC00093', 'ENC00216', 'ENC00283', 'ENC00325']"
16,ENC00295,amniotic fluid,cy0044703,['ENH00764'],[],[],[]
17,ENC00301,beaker cell,cy0014496,['ENH00293'],[],"['ENC00132', 'ENC00035', 'ENC00127', 'ENC00041', 'ENC00221', 'ENC00405', 'ENC00308', 'ENC00122', 'ENC00171', 'ENC00417', 'ENC00601', 'ENC00365', 'ENC00416', 'ENC00415', 'ENC00255', 'ENC00184']",[]
18,ENC00310,substantia propria of cornea,cy0007591,"['ENH00366', 'ENH00365', 'ENH00369', 'ENH00371', 'ENH00383', 'ENH00364', 'ENH00689']",[],['ENC00323'],[]
19,ENC00330,articular cartilage,cy0045439,"['ENH00373', 'ENH00371', 'ENH00574']",[],[],"['ENC00216', 'ENC00283']"
20,ENC00343,trophoblast cell,cy0014502,"['ENH00272', 'ENH00280', 'ENH00274', 'ENH00790', 'ENH00916', 'ENH00068']",[],[],[]
21,ENC00350,artery,cy0040987,"['ENH00463', 'ENH00741', 'ENH00287', 'ENH00977', 'ENH00978']",[],"['ENC00302', 'ENC00207']","['ENC00093', 'ENC00152', 'ENC00600', 'ENC00590', 'ENC00597', 'ENC00589', 'ENC00592', 'ENC00493', 'ENC00216', 'ENC00591', 'ENC00283', 'ENC00325']"
22,ENC00356,enteroendocrine cell of gastrointestinal tract,cy0014550,"['ENH00467', 'ENH00464', 'ENH00466', 'ENH00473', 'ENH01121', 'ENH00127']",[],"['ENC00601', 'ENC00365', 'ENC00102']",[]
23,ENC00366,alar column,cy0008371,['ENH00479'],[],"['ENC00020', 'ENC00302', 'ENC00027']",[]
24,ENC00369,anterior horn of spinal cord,cy0005681,['ENH00479'],[],"['ENC00020', 'ENC00357', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
25,ENC00372,roof plate of neural tube,cy0008201,['ENH00480'],[],['ENC00302'],[]
26,ENC00375,ectoderm,cy0031734,"['ENH00480', 'ENH00661']",[],[],[]
27,ENC00380,serum,cy0052321,"['ENH00764', 'ENH00287', 'ENH00958']",[],"['ENC00302', 'ENC00055', 'ENC00014']",[]
28,ENC00385,nuclei of solitary tract,cy0001609,"['ENH00467', 'ENH00466', 'ENH01121']",[],"['ENC00020', 'ENC00302', 'ENC00183', 'ENC00027', 'ENC00408']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
29,ENC00393,synovial cell phagocytic,cy0011377,['ENH00574'],[],"['ENC00020', 'ENC00552', 'ENC00602', 'ENC00579', 'ENC00053', 'ENC00097', 'ENC00221', 'ENC00074', 'ENC00171', 'ENC00125', 'ENC00307', 'ENC00055', 'ENC00246', 'ENC00578', 'ENC00102', 'ENC00274', 'ENC00391', 'ENC00262', 'ENC00323', 'ENC00018', 'ENC00122', 'ENC00302', 'ENC00601', 'ENC00312', 'ENC00414', 'ENC00088', 'ENC00315', 'ENC00076', 'ENC00447', 'ENC00214', 'ENC00306', 'ENC00022', 'ENC00322', 'ENC00326', 'ENC00130', 'ENC00357', 'ENC00382', 'ENC00599', 'ENC00128', 'ENC00198', 'ENC00207', 'ENC00127', 'ENC00140', 'ENC00027', 'ENC00145', 'ENC00365', 'ENC00144', 'ENC00418', 'ENC00416', 'ENC00115', 'ENC00009', 'ENC00563']",[]
30,ENC00440,pancreatic duct cell,cy0011238,['ENH01093'],[],"['ENC00447', 'ENC00601', 'ENC00365', 'ENC00102']",[]
31,ENC00445,anterior periventricular nucleus,cy0006449,['ENH00686'],[],"['ENC00020', 'ENC00361', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
32,ENC00451,epithelial cell of oviduct,cy0052357,"['ENH00362', 'ENH00067', 'ENH01093']",[],"['ENC00528', 'ENC00601']",[]
