,Unnamed: 0.1,Endo_id,uniprot,ensembl
0,0,END00066,P06213,ENST00000341500
1,1,END00068,P30968,ENST00000420975
2,2,END00069,Q92847,ENST00000427970
3,3,END00071,P16471,ENST00000397391
4,4,END00072,P34998,ENST00000457569
5,5,END00073,P34998,ENST00000457569
6,6,END00074,P34998,ENST00000457569
7,7,END00075,P34998,ENST00000457569
8,8,END00076,P34998,ENST00000457569
9,9,END00077,P34998,ENST00000457569
10,10,END00078,P34998,ENST00000457569
11,11,END00079,P34998,ENST00000457569
12,12,END00080,P34998,ENST00000457569
13,13,END00084,Q02643,ENST00000434774
14,14,END00089,Q92847,ENST00000427970
15,15,END00093,P16471,ENST00000397391
16,16,END00116,P23945,ENST00000454032
17,17,END00119,P22888,ENST00000428232
18,18,END00120,P22888,ENST00000428232
19,19,END00121,P23945,ENST00000454032
20,20,END00123,P34981,ENST00000311762
21,21,END00125,Q01718,ENST00000399821
22,22,END00127,P22888,ENST00000428232
23,23,END00131,P23945,ENST00000454032
24,24,END00134,P22888,ENST00000428232
25,25,END00135,P48546,ENST00000263281
26,26,END00136,Q02643,ENST00000434774
27,27,END00138,P14416,ENST00000362072
28,28,END00139,P48357,ENST00000431694
29,29,END00140,P04150,ENST00000454007
30,30,END00143,P08235,ENST00000358102
31,31,END00144,Q01726,ENST00000315491
32,32,END00146,empty,empty
33,33,END00147,empty,empty
34,34,END00148,Q15761,ENST00000338566
35,35,END00152,Q01718,ENST00000399821
36,36,END00153,Q01718,ENST00000399821
37,37,END00154,P08887,ENST00000368485
38,38,END00155,P08887,ENST00000368485
39,39,END00156,P08887,ENST00000368485
40,40,END00157,P10828,ENST00000456926
41,41,END00158,P21205,ENST00000450525
42,42,END00159,P37243,ENST00000456926
43,43,END00160,Q04771,ENST00000440523
44,44,END00161,Q04771,ENST00000440523
45,45,END00163,P30872,ENST00000455187
46,46,END00164,P30872,ENST00000455187
47,47,END00166,P30872,ENST00000455187
48,48,END00167,P30872,ENST00000455187
49,49,END00169,P30874,ENST00000357585
50,50,END00170,P30874,ENST00000357585
51,51,END00171,P30874,ENST00000357585
52,52,END00173,P30874,ENST00000357585
53,53,END00174,P30874,ENST00000357585
54,54,END00175,P35346,ENST00000397547
55,55,END00176,P35346,ENST00000397547
56,56,END00177,P35346,ENST00000397547
57,57,END00179,P35346,ENST00000397547
58,58,END00180,P32745,ENST00000402501
59,59,END00182,P32745,ENST00000402501
60,60,END00183,P32745,ENST00000402501
61,61,END00184,P31391,ENST00000255008
62,62,END00185,P31391,ENST00000255008
63,63,END00187,P31391,ENST00000255008
64,64,END00188,P31391,ENST00000255008
65,65,END00189,P31391,ENST00000255008
66,66,END00190,P30874,ENST00000357585
67,67,END00191,P10912,ENST00000357703
68,68,END00194,P08069,ENST00000427922
69,69,END00195,P11717,ENST00000407414
70,70,END00196,P08069,ENST00000427922
71,71,END00201,P37288,ENST00000299178
72,72,END00202,P30518,ENST00000434679
73,73,END00203,P30518,ENST00000434679
74,74,END00204,P30874,ENST00000357585
75,75,END00205,P35346,ENST00000397547
76,76,END00207,P47871,ENST00000400723
77,77,END00208,P47871,ENST00000400723
78,78,END00209,P47871,ENST00000400723
79,79,END00210,P47871,ENST00000400723
80,80,END00211,P47871,ENST00000400723
81,81,END00212,P47871,ENST00000400723
82,82,END00213,P47871,ENST00000400723
83,83,END00214,P47871,ENST00000400723
84,84,END00215,Q01718,ENST00000399821
85,85,END00216,P06213,ENST00000341500
86,86,END00218,P06213,ENST00000341500
87,87,END00219,P06213,ENST00000341500
88,88,END00221,P16473,ENST00000412429
89,89,END00222,P10275,ENST00000396044
90,90,END00224,P10275,ENST00000396044
91,91,END00225,P10275,ENST00000396044
92,92,END00226,P06401,ENST00000325455
93,93,END00228,P06401-2,ENST00000325455
94,94,END00229,Q92731,ENST00000358599
95,95,END00230,O60755,ENST00000249041
96,96,END00231,O60755,ENST00000249041
97,97,END00232,O60755,ENST00000249041
98,98,END00233,O60755,ENST00000249041
99,99,END00234,O60755,ENST00000249041
100,100,END00235,O60755,ENST00000249041
101,101,END00236,O60755,ENST00000249041
102,102,END00237,O43603,ENST00000329003
103,103,END00238,O43603,ENST00000329003
104,104,END00240,O43603,ENST00000329003
105,105,END00242,P10828,ENST00000456926
106,106,END00244,P16471,ENST00000397391
107,107,END00245,P16471,ENST00000397391
108,108,END00246,P16471,ENST00000397391
109,109,END00247,P16471,ENST00000397391
110,110,END00248,P47901,ENST00000367126
111,111,END00249,P16473,ENST00000412429
112,112,END00251,P14416,ENST00000362072
113,113,END00252,P21728,ENST00000393752
114,114,END00254,P21917,empty
115,115,END00255,P16471,ENST00000397391
116,116,END00256,P14416,ENST00000362072
117,117,END00257,P14416,ENST00000362072
118,118,END00258,P14416,ENST00000362072
119,119,END00260,P21918,ENST00000304374
120,120,END00261,P21918,ENST00000304374
