,Unnamed: 0.1,Endo_id,cell,receptor
0,0,END00066,ENC00176,ENR00935
1,1,END00068,ENC00003,ENR00942
2,2,END00069,ENC00002,ENR00936
3,3,END00071,ENC00007,ENR00263
4,4,END00072,ENC00163,ENR00941
5,5,END00073,ENC00181,ENR00941
6,6,END00074,ENC00182,ENR00941
7,7,END00075,ENC00097,ENR00941
8,8,END00076,ENC00037,ENR00941
9,9,END00077,ENC00125,ENR00941
10,10,END00078,ENC00053,ENR00941
11,11,END00079,ENC00183,ENR00941
12,12,END00080,ENC00140,ENR00941
13,13,END00084,ENC00053,ENR00574
14,14,END00089,ENC00145,ENR00936
15,15,END00093,ENC00062,ENR00263
16,16,END00116,ENC00044,ENR00788
17,17,END00119,ENC00143,ENR00789
18,18,END00120,ENC00067,ENR00789
19,19,END00121,ENC00119,ENR00788
20,20,END00123,ENC00177,ENR00079
21,21,END00125,ENC00169,ENR00761
22,22,END00127,ENC00044,ENR00789
23,23,END00131,ENC00168,ENR00788
24,24,END00134,ENC00168,ENR00789
25,25,END00135,ENC00174,ENR00978
26,26,END00136,ENC00002,ENR00574
27,27,END00138,ENC00164,ENR00817
28,28,END00139,ENC00189,ENR00979
29,29,END00140,ENC00053,ENR00691
30,30,END00143,ENC00063,ENR00662
31,31,END00144,ENC00082,ENR00760
32,32,END00146,ENC00189,ENR00976
33,33,END00147,ENC00003,ENR00977
34,34,END00148,ENC00189,ENR00767
35,35,END00152,ENC00157,ENR00761
36,36,END00153,ENC00168,ENR00761
37,37,END00154,ENC00169,ENR00864
38,38,END00155,ENC00168,ENR00864
39,39,END00156,ENC00157,ENR00864
40,40,END00157,ENC00025,ENR00659
41,41,END00158,ENC00025,ENR00982
42,42,END00159,ENC00025,ENR00984
43,43,END00160,ENC00171,ENR00884
44,44,END00161,ENC00102,ENR00884
45,45,END00163,ENC00020,ENR00737
46,46,END00164,ENC00053,ENR00737
47,47,END00166,ENC00132,ENR00737
48,48,END00167,ENC00063,ENR00737
49,49,END00169,ENC00020,ENR00738
50,50,END00170,ENC00053,ENR00738
51,51,END00171,ENC00002,ENR00738
52,52,END00173,ENC00132,ENR00738
53,53,END00174,ENC00063,ENR00738
54,54,END00175,ENC00020,ENR00739
55,55,END00176,ENC00053,ENR00739
56,56,END00177,ENC00002,ENR00739
57,57,END00179,ENC00132,ENR00739
58,58,END00180,ENC00053,ENR00920
59,59,END00182,ENC00020,ENR00920
60,60,END00183,ENC00132,ENR00920
61,61,END00184,ENC00020,ENR00921
62,62,END00185,ENC00050,ENR00921
63,63,END00187,ENC00132,ENR00921
64,64,END00188,ENC00074,ENR00921
65,65,END00189,ENC00112,ENR00921
66,66,END00190,ENC00189,ENR00738
67,67,END00191,ENC00004,ENR00873
68,68,END00194,ENC00007,ENR00865
69,69,END00195,ENC00007,ENR00855
70,70,END00196,ENC00002,ENR00865
71,71,END00201,ENC00074,ENR00743
72,72,END00202,ENC00063,ENR00745
73,73,END00203,ENC00074,ENR00745
74,74,END00204,ENC00177,ENR00738
75,75,END00205,ENC00177,ENR00739
76,76,END00207,ENC00005,ENR00228
77,77,END00208,ENC00048,ENR00228
78,78,END00209,ENC00063,ENR00228
79,79,END00210,ENC00102,ENR00228
80,80,END00211,ENC00132,ENR00228
81,81,END00212,ENC00127,ENR00228
82,82,END00213,ENC00145,ENR00228
