,Endo_id,cell_id,cell_name,receptor_id,receptor
0,ENH00003,ENC00067,Leydig_cell_of_testis,empty0,empty0
1,ENH00003,ENC00143,theca_cell,empty0,empty0
2,ENH00003,ENC00007,adrenal_cortex,empty0,empty0
3,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR00781,CCK-2
4,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR00761,ACTH receptor
5,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR00361,5-hydroxytryptamine receptor 4
6,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR00808,angiotensin II type 1 receptor
7,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR00759,Sphingosine 1-phosphate receptor 2
8,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR01025,BMP receptor type II
9,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR01025,BMP receptor type II
10,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR01108,NPR1
11,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR00817,dopamine receptor D2
12,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR00784,dopamine receptor D1
13,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR00742,VPAC2
14,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR00741,VPAC1
15,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR00780,CCK-1
16,ENH00005,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR01054,QRFP-R
17,ENH00007,ENC00143,theca_cell,ENR00789,LHCGR-1
18,ENH00007,ENC00143,theca_cell,ENR00905,ER-beta
19,ENH00007,ENC00157,cell_of_adrenal_gland_zona_reticularis,ENR00761,ACTH receptor
20,ENH00007,ENC00157,cell_of_adrenal_gland_zona_reticularis,ENR00864,IL-6R
21,ENH00007,ENC00007,adrenal_cortex,empty0,empty0
22,ENH00007,ENC00140,testis,empty0,empty0
23,ENH00016,ENC00063,kidney,ENR00999,PTHR1
24,ENH00016,ENC00063,kidney,ENR00664,VDR
25,ENH00018,ENC00169,cell_of_adrenal_gland_zona_fasciculata,ENR00761,ACTH receptor
26,ENH00018,ENC00169,cell_of_adrenal_gland_zona_fasciculata,ENR00864,IL-6R
27,ENH00018,ENC00007,adrenal_cortex,empty0,empty0
28,ENH00019,ENC00007,adrenal_cortex,ENR00741,VPAC1
29,ENH00019,ENC00007,adrenal_cortex,ENR01025,BMP receptor type II
30,ENH00019,ENC00169,cell_of_adrenal_gland_zona_fasciculata,ENR00761,ACTH receptor
31,ENH00019,ENC00169,cell_of_adrenal_gland_zona_fasciculata,ENR00864,IL-6R
32,ENH00019,ENC00169,cell_of_adrenal_gland_zona_fasciculata,ENR00361,5-hydroxytryptamine receptor 4
33,ENH00019,ENC00210,hair_follicle,ENR00941,CRF-R1
34,ENH00020,ENC00169,cell_of_adrenal_gland_zona_fasciculata,ENR00761,ACTH receptor
35,ENH00020,ENC00169,cell_of_adrenal_gland_zona_fasciculata,ENR00864,IL-6R
36,ENH00021,ENC00189,arcuate_nucleus_of_hypothalamus,ENR00263,PRLR
37,ENH00021,ENC00555,compact_part_of_substantia_nigra,ENR00797,5-HT-2C
38,ENH00021,ENC00011,adrenal_medulla,ENR00747,PACAP-R-1
39,ENH00021,ENC00011,adrenal_medulla,ENR00741,VPAC1
40,ENH00021,ENC00011,adrenal_medulla,ENR00742,VPAC2
41,ENH00021,ENC00556,corpus_striatum,ENR01012,5-HT3 receptor
42,ENH00022,ENC00170,chromaffin_cell,empty0,empty0
43,ENH00022,ENC00009,adrenal_gland,empty0,empty0
44,ENH00022,ENC00011,adrenal_medulla,ENR00747,PACAP-R-1
45,ENH00022,ENC00011,adrenal_medulla,ENR00741,VPAC1
46,ENH00022,ENC00011,adrenal_medulla,ENR00742,VPAC2
47,ENH00023,ENC00044,granulosa_cell,ENR00788,follitropin receptor
48,ENH00023,ENC00044,granulosa_cell,ENR01027,BMP receptor type IB
49,ENH00030,ENC00093,osteoblast,empty0,empty0
50,ENH00031,ENC00097,ovary,empty0,empty0
51,ENH00031,ENC00004,fat_cell,empty0,empty0
52,ENH00031,ENC00115,prostate,empty0,empty0
53,ENH00031,ENC00140,testis,empty0,empty0
54,ENH00031,ENC00002,acidophil_somatotroph_cell_of_anterior_pituitary,empty0,empty0
55,ENH00031,ENC00246,uterus,empty0,empty0
56,ENH00031,ENC00093,osteoblast,ENR00663,AR
57,ENH00031,ENC00093,osteoblast,ENR00704,ER-alpha
58,ENH00031,ENC00093,osteoblast,ENR00905,ER-beta
59,ENH00031,ENC00005,adipose_tissue,empty0,empty0
60,ENH00031,ENC00249,hepatocyte,ENR00691,glucocorticoid receptor
61,ENH00031,ENC00060,intestinal_smooth_muscle_cell,ENR01313,IGFBP-5 receptor
62,ENH00038,ENC00003,basophil_gonadotroph_cell_of_anterior_pituitary_FSH,ENR00942,gonadotropin-releasing hormone receptor
63,ENH00038,ENC00003,basophil_gonadotroph_cell_of_anterior_pituitary_FSH,ENR00977,unspecified testosterone receptor 2
64,ENH00038,ENC00003,basophil_gonadotroph_cell_of_anterior_pituitary_FSH,ENR00704,ER-alpha
65,ENH00038,ENC00003,basophil_gonadotroph_cell_of_anterior_pituitary_FSH,ENR00681,CXCR1
66,ENH00038,ENC00003,basophil_gonadotroph_cell_of_anterior_pituitary_FSH,ENR00724,ACTRIIA
67,ENH00038,ENC00003,basophil_gonadotroph_cell_of_anterior_pituitary_FSH,ENR01308,unspecified progesterone receptor
68,ENH00038,ENC00003,basophil_gonadotroph_cell_of_anterior_pituitary_FSH,ENR01056,NPFF-R1
69,ENH00038,ENC00053,pituitary_gland_of_diencephalon,ENR01328,FTS receptor
70,ENH00038,ENC00053,pituitary_gland_of_diencephalon,ENR00093,ER-alpha:ER-beta
71,ENH00039,ENC00110,pineal_cell,ENR00805,beta-1 adrenoreceptor
72,ENH00041,ENC00178,cell_of_intermediate_pituitary,ENR00760,MC1R
73,ENH00041,ENC00178,cell_of_intermediate_pituitary,ENR00760,MC1R
74,ENH00041,ENC00178,cell_of_intermediate_pituitary,ENR00816,melatonin 1 receptor
75,ENH00041,ENC00178,cell_of_intermediate_pituitary,ENR00817,dopamine receptor D2
76,ENH00041,ENC00178,cell_of_intermediate_pituitary,ENR00079,TRH-R
77,ENH00041,ENC00176,basophil_corticotroph_cell_of_anterior_pituitary,empty0,empty0
78,ENH00043,ENC00011,adrenal_medulla,ENR00747,PACAP-R-1
79,ENH00043,ENC00011,adrenal_medulla,ENR00741,VPAC1
80,ENH00043,ENC00011,adrenal_medulla,ENR00742,VPAC2
81,ENH00043,ENC00170,chromaffin_cell,ENR00979,leptin receptor
82,ENH00043,ENC00027,central_nerve_system_element,ENR00802,alpha-2A adrenoreceptor
83,ENH00043,ENC00027,central_nerve_system_element,ENR00803,alpha-2B adrenoreceptor
84,ENH00043,ENC00027,central_nerve_system_element,ENR00804,alpha-2C adrenoreceptor
85,ENH00043,ENC00559,locus_caeruleus,empty0,empty0
86,ENH00043,ENC00050,hippocampus,ENR01012,5-HT3 receptor
87,ENH00049,ENC00031,corpus_luteum,empty0,empty0
88,ENH00049,ENC00166,corpus_luteum,empty0,empty0
89,ENH00049,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR00789,LHCGR-1
90,ENH00049,ENC00168,cell_of_adrenal_gland_zona_glomerulosa,ENR00788,follitropin receptor
91,ENH00049,ENC00044,granulosa_cell,ENR00789,LHCGR-1
92,ENH00049,ENC00044,granulosa_cell,ENR01027,BMP receptor type IB
93,ENH00049,ENC00044,granulosa_cell,ENR00263,PRLR
94,ENH00056,ENC00145,thyroid_gland,ENR00970,thyroid stimulating hormone receptor
95,ENH00057,ENC00067,Leydig_cell_of_testis,ENR00789,LHCGR-1
96,ENH00057,ENC00067,Leydig_cell_of_testis,ENR00761,ACTH receptor
97,ENH00057,ENC00067,Leydig_cell_of_testis,ENR01338,G-protein coupled receptor GPCR33
98,ENH00057,ENC00157,cell_of_adrenal_gland_zona_reticularis,ENR00761,ACTH receptor
99,ENH00057,ENC00157,cell_of_adrenal_gland_zona_reticularis,ENR00864,IL-6R
100,ENH00057,ENC00143,theca_cell,ENR00789,LHCGR-1
101,ENH00057,ENC00143,theca_cell,ENR00704,ER-alpha
102,ENH00057,ENC00143,theca_cell,ENR00905,ER-beta
103,ENH00057,ENC00143,theca_cell,ENR00905,ER-beta
104,ENH00057,ENC00007,adrenal_cortex,empty0,empty0
105,ENH00058,ENC00222,keratinocyte,empty0,empty0
106,ENH00062,ENC00231,continuous_vascular_endothelial_cell_of_blood_vessels_and_lymphatics,empty0,empty0
107,ENH00062,ENC00207,blood_vessel,empty0,empty0
