,Endo_id,target_receptor,target_cell
0,ENH00007,empty0,empty0
1,ENH00058,empty0,empty0
2,ENH00065,empty0,empty0
3,ENH00066,empty0,empty0
4,ENH00070,empty0,empty0
5,ENH00100,empty0,empty0
6,ENH00123,empty0,empty0
7,ENH00140,ENR00898,ENC00386
8,ENH00140,ENR00898,ENC00161
9,ENH00140,ENR00898,ENC00096
10,ENH00143,empty0,empty0
11,ENH00144,empty0,empty0
12,ENH00154,empty0,empty0
13,ENH00155,empty0,empty0
14,ENH00166,ENR00822,ENC00182
15,ENH00166,ENR01012,ENC00182
16,ENH00166,ENR00361,ENC00182
17,ENH00166,ENR01012,ENC00386
18,ENH00166,ENR00361,ENC00274
19,ENH00166,ENR00802,ENC00267
20,ENH00166,ENR00803,ENC00267
21,ENH00166,ENR00361,ENC00257
22,ENH00166,ENR00361,ENC00169
23,ENH00166,ENR00361,ENC00168
24,ENH00166,ENR00068,ENC00027
25,ENH00166,ENR00751,ENC00027
26,ENH00166,ENR00068,ENC00181
27,ENH00166,ENR00751,ENC00181
28,ENH00166,ENR00802,ENC00181
29,ENH00166,ENR00803,ENC00181
30,ENH00166,ENR00802,ENC00269
31,ENH00166,ENR00803,ENC00269
32,ENH00166,ENR00068,ENC00262
33,ENH00166,ENR00792,ENC00487
34,ENH00166,ENR00797,ENC00487
35,ENH00166,ENR00797,ENC00556
36,ENH00166,ENR00751,ENC00556
37,ENH00166,ENR00361,ENC00556
38,ENH00166,ENR00068,ENC00539
39,ENH00166,ENR00803,ENC00264
40,ENH00166,ENR00795,ENC00275
41,ENH00166,ENR00796,ENC00275
42,ENH00166,ENR00797,ENC00275
43,ENH00166,ENR00751,ENC00275
44,ENH00166,ENR01012,ENC00275
45,ENH00166,ENR00361,ENC00275
46,ENH00166,ENR01012,ENC00425
47,ENH00166,ENR00802,ENC00268
48,ENH00166,ENR00803,ENC00268
49,ENH00166,ENR00068,ENC00266
50,ENH00166,ENR00802,ENC00266
51,ENH00166,ENR00803,ENC00266
52,ENH00166,ENR00796,ENC00048
53,ENH00166,ENR00822,ENC00050
54,ENH00166,ENR00795,ENC00050
55,ENH00166,ENR00797,ENC00050
56,ENH00166,ENR00068,ENC00050
57,ENH00166,ENR00751,ENC00050
58,ENH00166,ENR01012,ENC00050
59,ENH00166,ENR00361,ENC00050
60,ENH00166,ENR00792,ENC00361
61,ENH00166,ENR00795,ENC00163
62,ENH00166,ENR00796,ENC00063
63,ENH00166,ENR00795,ENC00578
64,ENH00166,ENR00796,ENC00578
65,ENH00166,ENR00795,ENC00023
66,ENH00166,ENR00796,ENC00023
67,ENH00166,ENR01012,ENC00161
68,ENH00166,ENR00361,ENC00161
69,ENH00166,ENR00795,ENC00013
70,ENH00166,ENR00822,ENC00585
71,ENH00166,ENR00068,ENC00265
72,ENH00166,ENR00802,ENC00265
73,ENH00166,ENR00803,ENC00265
74,ENH00166,ENR00361,ENC00258
75,ENH00166,ENR00822,ENC00540
76,ENH00166,ENR00795,ENC00540
77,ENH00166,ENR00068,ENC00540
78,ENH00166,ENR00795,ENC00152
79,ENH00166,ENR00796,ENC00132
80,ENH00166,ENR00797,ENC00134
81,ENH00166,ENR00361,ENC00134
82,ENH00166,ENR00068,ENC00545
83,ENH00166,ENR00796,ENC00150
84,ENH00166,ENR00791,empty0
85,ENH00166,ENR00793,empty0
86,ENH00166,ENR00794,empty0
87,ENH00166,ENR00360,empty0
88,ENH00166,ENR00752,empty0
89,ENH00186,empty0,empty0
90,ENH00191,empty0,empty0
91,ENH00193,empty0,empty0
92,ENH00194,empty0,empty0
93,ENH00195,empty0,empty0
94,ENH00201,ENR00935,ENC00180
95,ENH00201,ENR00935,ENC00189
96,ENH00201,ENR00935,ENC00176
97,ENH00201,ENR00935,ENC00174
98,ENH00201,ENR00935,ENC00231
99,ENH00201,ENR00935,ENC00004
100,ENH00201,ENR00935,ENC00048
101,ENH00201,ENR00935,ENC00122
102,ENH00202,empty0,empty0
103,ENH00203,empty0,empty0
104,ENH00204,empty0,empty0
105,ENH00205,empty0,empty0
106,ENH00206,empty0,empty0
107,ENH00207,empty0,empty0
108,ENH00208,empty0,empty0
109,ENH00211,empty0,empty0
110,ENH00214,empty0,empty0
111,ENH00217,empty0,empty0
112,ENH00224,empty0,empty0
113,ENH00230,empty0,empty0
114,ENH00232,empty0,empty0
115,ENH00233,empty0,empty0
116,ENH00238,empty0,empty0
117,ENH00239,empty0,empty0
118,ENH00240,empty0,empty0
119,ENH00241,empty0,empty0
120,ENH00242,empty0,empty0
121,ENH00250,ENR00705,ENC00037
122,ENH00254,empty0,empty0
123,ENH00255,empty0,empty0
124,ENH00290,empty0,empty0
125,ENH00292,empty0,empty0
126,ENH00293,empty0,empty0
127,ENH00311,empty0,empty0
128,ENH00313,empty0,empty0
129,ENH00353,empty0,empty0
130,ENH00355,empty0,empty0
131,ENH00358,empty0,empty0
132,ENH00365,empty0,empty0
133,ENH00383,empty0,empty0
134,ENH00384,empty0,empty0
