,Endo_id,receptor,cell,phenotype,activity
0,ENQ00001,ENR00941,ENC00009,ENP00034,normal receptor activity
1,ENQ00002,ENR00985,ENC00005,ENP00060,normal receptor activity
2,ENQ00003,ENR00741,ENC00020,ENP00019,normal receptor activity
3,ENQ00004,ENR00741,ENC00020,ENP00011,normal receptor activity
4,ENQ00005,ENR00741,ENC00020,ENP00018,normal receptor activity
5,ENQ00006,ENR00941,ENC00027,ENP00035,normal receptor activity
6,ENQ00007,ENR00957,ENC00102,ENP00077,normal receptor activity
7,ENQ00008,ENR00788,ENC00044,ENP00021,normal receptor activity
8,ENQ00009,ENR00664,ENC00093,ENP00022,normal receptor activity
9,ENQ00010,ENR00669,ENC00150,ENP00012,normal receptor activity
10,ENQ00011,ENR00941,ENC00078,ENP00036,normal receptor activity
11,ENQ00012,ENR00669,ENC00231,ENP00013,normal receptor activity
12,ENQ00013,ENR00865,ENC00002,ENP00005,normal receptor activity
13,ENQ00014,ENR00669,ENC00150,ENP00014,normal receptor activity
14,ENQ00015,ENR00865,ENC00002,ENP00037,normal receptor activity
15,ENQ00016,ENR00669,ENC00231,ENP00015,normal receptor activity
16,ENQ00017,ENR00669,ENC00231,ENP00016,normal receptor activity
17,ENQ00018,ENR00669,ENC00231,ENP00017,normal receptor activity
18,ENQ00019,ENR00780,ENC00102,ENP00061,normal receptor activity
19,ENQ00020,ENR00865,ENC00002,ENP00038,normal receptor activity
20,ENQ00021,ENR00664,ENC00093,ENP00057,no receptor activity
21,ENQ00022,ENR00865,ENC00002,ENP00039,normal receptor activity
22,ENQ00023,ENR00936,ENC00189,ENP00002,normal receptor activity
23,ENQ00024,ENR00756,ENC00150,ENP00040,normal receptor activity
24,ENQ00025,ENR00756,ENC00152,ENP00041,normal receptor activity
25,ENQ00026,ENR00789,ENC00044,ENP00004,normal receptor activity
26,ENQ00027,ENR00756,ENC00152,ENP00042,normal receptor activity
27,ENQ00028,ENR00923,ENC00132,ENP00025,normal receptor activity
28,ENQ00029,ENR00923,ENC00035,ENP00026,normal receptor activity
29,ENQ00030,ENR00923,ENC00027,ENP00027,normal receptor activity
30,ENQ00031,ENR00816,ENC00550,ENP00062,normal receptor activity
31,ENQ00032,ENR00922,ENC00550,ENP00062,normal receptor activity
32,ENQ00033,ENR00085,ENC00097,ENP00004,normal receptor activity
33,ENQ00034,ENR00085,ENC00097,ENP00031,normal receptor activity
34,ENQ00035,ENR00085,ENC00097,ENP00032,normal receptor activity
35,ENQ00036,ENR00816,ENC00550,ENP00011,normal receptor activity
36,ENQ00037,ENR00756,ENC00152,ENP00043,normal receptor activity
37,ENQ00038,ENR00922,ENC00550,ENP00011,normal receptor activity
38,ENQ00039,ENR00816,ENC00053,ENP00074,normal receptor activity
39,ENQ00040,ENR00228,ENC00249,ENP00046,normal receptor activity
40,ENQ00041,ENR00228,ENC00249,ENP00047,normal receptor activity
41,ENQ00042,ENR00228,ENC00249,ENP00048,normal receptor activity
42,ENQ00043,ENR00985,ENC00360,ENP00049,normal receptor activity
43,ENQ00044,ENR00985,ENC00360,ENP00018,normal receptor activity
44,ENQ00045,ENR00816,ENC00579,ENP00067,normal receptor activity
45,ENQ00046,ENR00985,ENC00360,ENP00051,normal receptor activity
