,Unnamed: 0,Endo_id,name,uniprot,ensembl,binding_hormones,anatomical structure
0,0,ENR00057,GABA-BR1A,Q9UBS51,ENST00000458518,['ENH00246'],[]
1,1,ENR00090,alpha 2 adrenoceptor,empty0,empty0,"['ENH00043', 'ENH00022']",[]
2,2,ENR00114,CHRNA1-2,P02708,ENST00000448239,['ENH00226'],"['ENC00122', 'ENC00020', 'ENC00048', 'ENC00063', 'ENC00578', 'ENC00074', 'ENC00144', 'ENC00011']"
3,3,ENR00115,Acetylcholine receptor subunit beta,P11230,ENST00000306071,['ENH00226'],['ENC00011']
4,4,ENR00116,Acetylcholine receptor subunit gamma,P07510,ENST00000389494,['ENH00226'],['ENC00011']
5,5,ENR00117,Acetylcholine receptor subunit delta,Q07001,ENST00000457943,['ENH00226'],['ENC00011']
6,6,ENR00122,PPAR beta/delta,Q03181,empty0,['ENH00807'],"['ENC00122', 'ENC00005', 'ENC00063', 'ENC00127', 'ENC00221', 'ENC00578', 'ENC00125', 'ENC00112', 'ENC00020']"
7,7,ENR00123,Gamma-aminobutyric acid receptor subunit beta-1,P18505,ENST00000381582,['ENH00246'],[]
8,8,ENR00124,Gamma-aminobutyric acid receptor subunit alpha-1,P14867,ENST00000444819,['ENH00246'],[]
9,9,ENR00125,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3,ENST00000295452,['ENH00246'],[]
10,10,ENR00126,Gamma-aminobutyric acid receptor subunit delta,O14764,ENST00000378585,['ENH00246'],[]
11,11,ENR00127,Gamma-aminobutyric acid receptor subunit rho-1,P24046,ENST00000457434,['ENH00246'],[]
12,12,ENR00152,EphA6,Q9UF33,ENST00000458101,['ENH00844'],"['ENC00020', 'ENC00140']"
13,13,ENR00265,SLAMF1 long form,Q13291,ENST00000392208,['ENH00952'],"['ENC00287', 'ENC00233', 'ENC00293']"
14,14,ENR00266,CD4,P01730,ENST00000437800,['ENH00476'],[]
15,15,ENR00275,LIR-1,Q8NHL6,ENST00000451426,[],"['ENC00233', 'ENC00247', 'ENC00287', 'ENC00292', 'ENC00228']"
16,16,ENR00276,PIR-B,Q9UKJ0,ENST00000457519,[],['ENC00248']
17,17,ENR00277,complement C3d receptor,P20023,ENST00000458541,"['ENH00261', 'ENH00944']","['ENC00233', 'ENC00287', 'ENC00534', 'ENC00284', 'ENC00427', 'ENC00130', 'ENC00535', 'ENC00276', 'ENC00397', 'ENC00251', 'ENC00309', 'ENC00247', 'ENC00293']"
18,18,ENR00279,uPAR1,Q034051,ENST00000340093,['ENH00943'],[]
19,19,ENR00280,CD5,P06127,ENST00000347785,"['ENH00929', 'ENH00930']","['ENC00293', 'ENC00287', 'ENC00233', 'ENC00228', 'ENC00418', 'ENC00307']"
20,20,ENR00282,hLAIR1-1,Q6GTX8,ENST00000456960,[],"['ENC00292', 'ENC00287']"
21,21,ENR00284,SHPS-1-1,P78324,ENST00000400074,['ENH00357'],[]
22,22,ENR00360,5-ht-5BR,empty0,empty0,['ENH00166'],[]
23,23,ENR00394,TP-1,P21731,ENST00000411851,['ENH00337'],[]
24,24,ENR00419,4-1BB,Q07011,ENST00000377507,['ENH00567'],[]
25,25,ENR00420,OX40,P43489,ENST00000453580,['ENH01153'],['ENC00287']
26,26,ENR00424,DcR3,O95407,ENST00000425905,['ENH00691'],[]
27,27,ENR00425,HVEM,Q92956,ENST00000451778,['ENH01149'],[]
28,28,ENR00440,Smo,Q99835,ENST00000249373,['ENH00531'],[]
29,29,ENR00488,GFR-alpha-3,O60609,ENST00000378362,['ENH00378'],[]
30,30,ENR00489,GFR-alpha-4,Q9GZZ7,ENST00000412824,['ENH00379'],['ENC00145']
31,31,ENR00515,Neuronal acetylcholine receptor subunit beta-2,P17787,empty0,[],['ENC00011']
32,32,ENR00519,frizzled 8,Q9H461,ENST00000374694,['ENH00536'],"['ENC00102', 'ENC00122', 'ENC00063', 'ENC00048']"
33,33,ENR00520,frizzled 7,O75084,ENST00000286201,['ENH00490'],"['ENC00102', 'ENC00062']"
34,34,ENR00536,IL-13Ralpha,P78552,ENST00000371666,[],['ENC00093']
35,35,ENR00539,Gamma-aminobutyric acid receptor subunit alpha-3,P34903,ENST00000417858,['ENH00246'],[]
36,36,ENR00572,ST2,Q01638,ENST00000447231,['ENH01150'],[]
37,37,ENR00577,CD38,P28907,ENST00000226279,['ENH00667'],[]
38,38,ENR00580,frizzled 4,Q9ULV1,ENST00000309186,"['ENH00528', 'ENH00490']",[]
39,39,ENR00583,DR5,O14763,ENST00000347739,['ENH00551'],[]
40,40,ENR00584,DR4,O00220,ENST00000221132,['ENH00551'],"['ENC00130', 'ENC00389', 'ENC00127', 'ENC00144']"
41,41,ENR00585,DcR2,Q9UBN6,ENST00000312584,['ENH00551'],[]
42,42,ENR00586,DcR1,O14798,ENST00000397703,['ENH00551'],[]
43,43,ENR00587,MARCO,Q9UEW3,ENST00000412481,"['ENH00673', 'ENH00672']",[]
44,44,ENR00599,EpoR,P19235,ENST00000222139,['ENH00068'],[]
45,45,ENR00600,IL-2R (low affinity),P01589,ENST00000447847,['ENH00325'],['ENC00287']
