,Endo_id,cell_id,cell_name,Hormone_id,Hormone
0,ENR00005,ENC00048,heart,empty0,empty0
1,ENR00005,ENC00063,kidney,empty0,empty0
2,ENR00005,ENC00074,lung,empty0,empty0
3,ENR00005,ENC00539,dentate_gyrus_of_hippocampus,empty0,empty0
4,ENR00047,ENC00216,macrophage,empty0,empty0
5,ENR00058,ENC00250,chondrocyte,empty0,empty0
6,ENR00058,ENC00177,basophil_thyrotroph_cell_of_anterior_pituitary,ENH00121,TSH
7,ENR00058,ENC00216,macrophage,empty0,empty0
8,ENR00061,ENC00093,osteoblast,ENH00338,PGE2
9,ENR00061,ENC00093,osteoblast,ENH00346,PGI2
10,ENR00061,ENC00217,neutrophil_granulocyte,empty0,empty0
11,ENR00061,ENC00600,endothelial_cell,empty0,empty0
12,ENR00068,ENC00027,central_nerve_system_element,empty0,empty0
13,ENR00068,ENC00266,granular_layer_of_cerebellar_cortex,empty0,empty0
14,ENR00068,ENC00265,Purkinje_cell,empty0,empty0
15,ENR00068,ENC00181,cerebellar_cortex,empty0,empty0
16,ENR00068,ENC00539,dentate_gyrus_of_hippocampus,empty0,empty0
17,ENR00068,ENC00540,pyramidal_layer_of_hippocampus,empty0,empty0
18,ENR00068,ENC00050,hippocampus,empty0,empty0
19,ENR00068,ENC00545,suprachiasmatic_nucleus_of_hypothalamus,empty0,empty0
20,ENR00068,ENC00262,cerebellum,empty0,empty0
21,ENR00079,ENC00177,basophil_thyrotroph_cell_of_anterior_pituitary,ENH00121,TSH
22,ENR00079,ENC00177,basophil_thyrotroph_cell_of_anterior_pituitary,ENH00122,TRH
23,ENR00079,ENC00177,basophil_thyrotroph_cell_of_anterior_pituitary,ENH00496,neuromedin B
24,ENR00079,ENC00001,acidophil_mammotroph_cell_of_anterior_pituitary,ENH00111,PRL
25,ENR00079,ENC00178,cell_of_intermediate_pituitary,ENH00041,MSH
26,ENR00079,ENC00053,pituitary_gland_of_diencephalon,ENH00117,GH
27,ENR00085,ENC00166,corpus_luteum,empty0,empty0
28,ENR00085,ENC00037,cell_of_endometrium_of_uterus,ENH00251,IL-11
29,ENR00085,ENC00037,cell_of_endometrium_of_uterus,ENH00213,TGF-beta 2
30,ENR00085,ENC00076,mammary_gland,empty0,empty0
31,ENR00085,ENC00361,hypothalamus,ENH00134,GnRH-I
32,ENR00085,ENC00097,ovary,empty0,empty0
33,ENR00085,ENC00216,macrophage,empty0,empty0
34,ENR00089,ENC00009,adrenal_gland,empty0,empty0
35,ENR00093,ENC00053,pituitary_gland_of_diencephalon,ENH00038,LH
36,ENR00093,ENC00003,basophil_gonadotroph_cell_of_anterior_pituitary_FSH,ENH00074,FSH
37,ENR00103,ENC00020,brain,empty0,empty0
38,ENR00114,ENC00122,skeleton_muscle,empty0,empty0
39,ENR00114,ENC00020,brain,empty0,empty0
40,ENR00114,ENC00048,heart,empty0,empty0
41,ENR00114,ENC00063,kidney,empty0,empty0
42,ENR00114,ENC00578,liver,empty0,empty0
43,ENR00114,ENC00074,lung,empty0,empty0
44,ENR00114,ENC00144,thymus,empty0,empty0
45,ENR00114,ENC00011,adrenal_medulla,empty0,empty0
46,ENR00115,ENC00011,adrenal_medulla,empty0,empty0
47,ENR00116,ENC00011,adrenal_medulla,empty0,empty0
48,ENR00117,ENC00011,adrenal_medulla,empty0,empty0
49,ENR00118,ENC00005,adipose_tissue,ENH00207,haptoglobin
50,ENR00118,ENC00005,adipose_tissue,ENH00100,resistin
51,ENR00118,ENC00005,adipose_tissue,ENH00080,adiponectin
52,ENR00118,ENC00005,adipose_tissue,ENH00160,leptin
53,ENR00118,ENC00221,large_intestine,empty0,empty0
54,ENR00118,ENC00063,kidney,empty0,empty0
55,ENR00118,ENC00127,small_intestine,empty0,empty0
56,ENR00118,ENC00018,bone_marrow,empty0,empty0
57,ENR00118,ENC00074,lung,empty0,empty0
58,ENR00118,ENC00112,placenta,empty0,empty0
59,ENR00118,ENC00048,heart,empty0,empty0
60,ENR00118,ENC00097,ovary,empty0,empty0
61,ENR00118,ENC00022,breast,empty0,empty0
62,ENR00118,ENC00128,smooth_muscle,empty0,empty0
63,ENR00118,ENC00152,smooth_muscle_cell,empty0,empty0
64,ENR00118,ENC00216,macrophage,empty0,empty0
65,ENR00118,ENC00130,spleen,empty0,empty0
66,ENR00118,ENC00140,testis,empty0,empty0
67,ENR00118,ENC00122,skeleton_muscle,empty0,empty0
68,ENR00118,ENC00020,brain,empty0,empty0
69,ENR00118,ENC00233,B-lymphocyte,empty0,empty0
70,ENR00118,ENC00184,colon,empty0,empty0
71,ENR00118,ENC00055,immune_system,empty0,empty0
72,ENR00118,ENC00164,retina,empty0,empty0
73,ENR00118,ENC00423,microglial_cell_in_central_nervous_system,empty0,empty0
74,ENR00118,ENC00287,T-lymphocyte,empty0,empty0
75,ENR00118,ENC00424,lipocyte_of_liver,empty0,empty0
