,Unnamed: 0.1,Endo_id,uniprot,ensembl,Hormone
0,0,ENS00007,P01225,ENST00000417547,ENH00074
1,1,ENS00008,"['P01229', 'P01215']",empty,ENH00038
2,2,ENS00009,empty,empty,ENH00039
3,3,ENS00010,"['P09529', 'P05111']",empty,ENH00120
4,4,ENS00012,empty,empty,ENH00057
5,5,ENS00013,empty,empty,ENH00022
6,6,ENS00014,empty,empty,ENH00043
7,7,ENS00015,P01243,ENST00000316193,ENH00116
8,8,ENS00022,"['P01215', 'P01222']",empty,ENH00121
9,9,ENS00023,empty,empty,ENH00041
10,10,ENS00028,P01185,ENST00000380293,ENH00119
11,11,ENS00029,empty,empty,ENH00065
12,12,ENS00030,empty,empty,ENH00019
13,13,ENS00031,empty,empty,ENH00005
14,14,ENS00033,P01308,ENSG00000129965,ENH00096
15,15,ENS00034,P61278,ENST00000287641,ENH00124
16,16,ENS00038,Q9UBU3,ENST00000457360,ENH00127
17,17,ENS00040,empty,empty,ENH00123
18,18,ENS00041,empty,empty,ENH00056
19,19,ENS00043,empty,empty,ENH00226
20,20,ENS00044,empty,empty,ENH00043
21,21,ENS00065,empty,empty,ENH00049
22,22,ENS00066,empty,empty,ENH00057
23,23,ENS00067,"['P09529', 'P05111']",empty,ENH00120
24,24,ENS00068,P01148,ENST00000421054,ENH00134
25,25,ENS00069,empty,empty,ENH00007
26,26,ENS00070,empty,empty,ENH00023
27,27,ENS00071,empty,empty,ENH00057
28,28,ENS00074,P06850,ENST00000276571,ENH00064
29,29,ENS00075,P01189,ENST00000405623,ENH00154
30,30,ENS00076,empty,empty,ENH00018
31,31,ENS00078,P01189,ENST00000405623,ENH00118
32,32,ENS00079,empty,empty,ENH00041
33,33,ENS00080,P01189,ENST00000405623,ENH00118
34,34,ENS00081,P01189,ENST00000405623,ENH00155
35,35,ENS00082,empty,empty,ENH00066
36,36,ENS00086,empty,empty,ENH00020
37,37,ENS00089,P01343,ENST00000456098,ENH00031
38,38,ENS00090,P01343,ENST00000456098,ENH00031
39,39,ENS00091,P01343,ENST00000456098,ENH00031
40,40,ENS00092,P01343,ENST00000456098,ENH00031
41,41,ENS00093,empty,empty,ENH00049
