,Unnamed: 0,Endo_id,source_cell,sec_hormone
0,0,ENS00885,ENC00096,ENH00460
1,1,ENS00886,ENC00018,ENH00460
2,2,ENS00887,ENC00250,ENH00460
3,3,ENS00888,ENC00325,ENH00460
4,4,ENS00889,ENC00093,ENH00460
5,5,ENS00890,ENC00093,ENH00461
6,6,ENS00891,ENC00020,ENH00461
7,7,ENS00892,ENC00018,ENH00461
8,8,ENS00893,ENC00096,ENH00212
9,9,ENS00894,ENC00326,ENH00462
10,10,ENS00895,ENC00216,ENH00462
11,11,ENS00896,ENC00283,ENH00462
12,12,ENS00897,ENC00093,ENH00030
13,13,ENS00898,ENC00350,ENH00463
14,14,ENS00899,ENC00323,ENH00463
15,15,ENS00900,ENC00063,ENH00463
16,16,ENS00902,ENC00048,ENH00463
17,17,ENS00904,ENC00356,ENH00467
18,18,ENS00905,ENC00356,ENH00464
19,19,ENS00906,ENC00356,ENH00466
20,20,ENS00907,ENC00011,ENH00137
21,21,ENS00910,ENC00112,ENH00468
22,22,ENS00911,ENC00018,ENH00468
23,23,ENS00912,ENC00096,ENH00468
24,24,ENS00913,ENC00222,ENH00469
25,25,ENS00914,ENC00213,ENH00469
26,26,ENS00915,ENC00112,ENH00469
27,27,ENS00919,ENC00145,ENH00103
28,28,ENS00924,ENC00357,ENH00474
29,29,ENS00925,ENC00020,ENH00475
30,30,ENS00926,ENC00162,ENH00475
31,31,ENS00927,ENC00112,ENH00476
32,32,ENS00928,ENC00074,ENH00476
33,33,ENS00930,ENC00130,ENH00476
34,34,ENS00931,ENC00125,ENH00476
35,35,ENS00932,ENC00122,ENH00476
36,36,ENS00933,ENC00128,ENH00476
37,37,ENS00934,ENC00259,ENH00476
38,38,ENS00936,ENC00144,ENH00476
39,39,ENS00937,ENC00063,ENH00476
40,40,ENS00938,ENC00361,ENH00496
41,41,ENS00941,ENC00184,ENH00496
42,42,ENS00942,ENC00221,ENH00496
43,43,ENS00943,ENC00074,ENH00496
44,44,ENS00944,ENC00357,ENH00479
45,45,ENS00945,ENC00366,ENH00479
46,46,ENS00946,ENC00369,ENH00479
47,47,ENS00947,ENC00372,ENH00480
48,48,ENS00948,ENC00375,ENH00480
49,49,ENS00949,ENC00020,ENH00480
50,50,ENS00951,ENC00048,ENH00499
51,51,ENS00952,ENC00020,ENH00499
52,52,ENS00953,ENC00122,ENH00499
53,53,ENS00954,ENC00074,ENH00499
54,54,ENS00955,ENC00074,ENH00497
55,55,ENS00956,ENC00102,ENH00498
56,56,ENS00957,ENC00093,ENH00498
57,57,ENS00958,ENC00020,ENH00498
58,58,ENS00960,ENC00112,ENH00498
59,59,ENS00961,ENC00020,ENH00499
60,60,ENS00962,ENC00074,ENH00499
61,61,ENS00963,ENC00048,ENH00499
62,62,ENS00964,ENC00122,ENH00499
63,63,ENS00965,ENC00379,ENH00500
64,64,ENS00966,ENC00048,ENH00500
65,65,ENS00967,ENC00020,ENH00500
66,66,ENS00968,ENC00184,ENH00500
67,67,ENS00969,ENC00221,ENH00500
68,68,ENS00970,empty0,empty0
69,69,ENS00971,ENC00127,ENH00500
70,70,ENS00972,ENC00022,ENH00500
71,71,ENS00973,ENC00037,ENH00503
72,72,ENS00974,ENC00005,ENH00504
73,73,ENS00975,ENC00323,ENH00504
74,74,ENS00976,ENC00048,ENH00504
75,75,ENS00977,ENC00020,ENH00504
76,76,ENS00978,ENC00122,ENH00504
77,77,ENS00979,ENC00102,ENH00504
78,78,ENS00980,ENC00144,ENH00504
79,79,ENS00981,ENC00115,ENH00504
80,80,ENS00982,ENC00140,ENH00504
81,81,ENS00983,ENC00097,ENH00504
82,82,ENS00984,ENC00127,ENH00504
83,83,ENS00985,ENC00184,ENH00504
84,84,ENS00986,ENC00112,ENH00505
85,85,ENS00987,ENC00102,ENH00505
