,Endo_id,Transported hormone,Target receptor
0,ENT00037,ENH00021,ENR00817
1,ENT00038,ENH00021,ENR00818
2,ENT00039,ENH00021,ENR00929
3,ENT00066,ENH00056,ENR00934
4,ENT00068,ENH00096,ENR00666
5,ENT00069,ENH00096,ENR00935
6,ENT00071,ENH00097,ENR00777
7,ENT00081,ENH00074,ENR00788
8,ENT00083,ENH00118,ENR00761
9,ENT00092,ENH00119,ENR00744
10,ENT00093,ENH00119,ENR00745
11,ENT00094,ENH00080,ENR00954
12,ENT00095,ENH00080,ENR00953
13,ENT00096,ENH00136,ENR00955
14,ENT00097,ENH00137,ENR00956
15,ENT00098,ENH00137,ENR00957
16,ENT00099,ENH00496,ENR00958
17,ENT00100,ENH00138,ENR00959
18,ENT00101,ENH00139,ENR00763
19,ENT00102,ENH00140,ENR00898
20,ENT00105,ENH00062,ENR00960
21,ENT00106,ENH00062,ENR00061
22,ENT00107,ENH00141,ENR00939
23,ENT00113,ENH00064,ENR00941
24,ENT00114,ENH00064,ENR00965
25,ENT00115,ENH00116,ENR00873
26,ENT00116,ENH00116,ENR00263
27,ENT00117,ENH00111,ENR00263
28,ENT00119,ENH00103,ENR00898
29,ENT00122,ENH00145,ENR00898
30,ENT00123,ENH00103,ENR00959
31,ENT00124,ENH00145,ENR00959
32,ENT00125,ENH00134,ENR00969
33,ENT00126,ENH00146,ENR00969
34,ENT00127,ENH00117,ENR00873
35,ENT00129,ENH00078,ENR00574
36,ENT00130,ENH00148,ENR00970
37,ENT00132,ENH00149,ENR00789
38,ENT00133,ENH00150,ENR00957
39,ENT00134,ENH00038,ENR00789
40,ENT00135,ENH00098,ENR00746
41,ENT00136,ENH00098,ENR00743
42,ENT00137,ENH00098,ENR00744
43,ENT00138,ENH00111,ENR00971
44,ENT00139,ENH00153,ENR00972
45,ENT00140,ENH00152,ENR00972
46,ENT00141,ENH00124,ENR00737
47,ENT00142,ENH00124,ENR00920
48,ENT00143,ENH00124,ENR00739
49,ENT00144,ENH00141,ENR00738
50,ENT00146,ENH00141,ENR00739
51,ENT00148,ENH00122,ENR00079
52,ENT00149,ENH00121,ENR00970
53,ENT00150,ENH00018,ENR00691
54,ENT00151,ENH00019,ENR00691
55,ENT00152,ENH00020,ENR00691
56,ENT00153,ENH00005,ENR00662
57,ENT00154,ENH00118,ENR00760
58,ENT00155,ENH00156,ENR00760
59,ENT00156,ENH00134,ENR00942
60,ENT00158,ENH00161,ENR00974
61,ENT00159,ENH00117,ENR00263
62,ENT00161,ENH00057,ENR00976
63,ENT00162,ENH00164,ENR00767
64,ENT00163,ENH00164,ENR00766
65,ENT00164,ENH00041,ENR00761
66,ENT00165,ENH00126,ENR00978
67,ENT00166,ENH00166,ENR00822
68,ENT00168,ENH00063,ENR00780
69,ENT00169,ENH00076,ENR00780
70,ENT00170,ENH00063,ENR00781
71,ENT00171,ENH00076,ENR00781
72,ENT00172,ENH00056,ENR00659
73,ENT00174,ENH00097,ENR00808
74,ENT00175,ENH00097,ENR00980
75,ENT00176,ENH00056,ENR00982
76,ENT00177,ENH00056,ENR00984
77,ENT00178,ENH00179,ENR00914
78,ENT00180,ENH00127,ENR00936
79,ENT00181,ENH00181,ENR00787
80,ENT00182,ENH00181,ENR00928
81,ENT00184,ENH00160,ENR00979
82,ENT00185,ENH00084,ENR00855
83,ENT00186,ENH00031,ENR00865
84,ENT00187,ENH00096,ENR00865
85,ENT00188,ENH00125,ENR00742
86,ENT00189,ENH00182,ENR00742
87,ENT00190,ENH00185,ENR00855
88,ENT00191,ENH00165,ENR00855
89,ENT00192,ENH00104,ENR00228
90,ENT00193,ENH00127,ENR00962
91,ENT00194,ENH00111,ENR00873
92,ENT00195,ENH00187,ENR00873
93,ENT00197,ENH00124,ENR00921
94,ENT00199,ENH00003,ENR00663
95,ENT00200,ENH00049,ENR00906
96,ENT00201,ENH00049,ENR00694
97,ENT00202,ENH00049,ENR00085
98,ENT00203,ENH00023,ENR00704
