,e1,e2
0,TGFB1,VASN
1,TGFB2,VASN
2,VEGFB,FLT1
3,CX3CL1,ADAM17
4,SOST,LRP5
5,SEMA4D,CD72
6,HAMP,SLC40A1
7,IL1A,IL1R2
8,IGF2,INSR
9,GCG,GCGR
10,LAMA5,ITGA3
11,GAST,CCKBR
12,IFNL2,IFNLR1
13,UCN3,CRHR2
14,THBS1,ITGAV
15,BMP2,BMPR2
16,ADM,CALCRL
17,AGT,AGTR1
18,INS,INSR
19,GAST,CCKAR
20,IL10,IL10RA
21,THBS1,CD36
22,FGF7,FGFR2
23,IFNL1,IFNLR1
24,FGF1,FGFR2
25,SPP1,ITGAV
26,TNFSF12,TNFRSF12A
27,LAMA5,BCAM
28,CCK,CCKAR
29,IFNL3,IFNLR1
30,TNF,TNFRSF1A
31,BMP2,BMPR1A
32,IL1B,IL1R2
33,CRH,CRHR1
34,FGF1,FGFR1
35,PDGFB,PDGFRA
36,CD40LG,CD40
37,DKK1,LRP5
38,TNF,ADAM17
39,DKK1,KREMEN2
40,CCK,CCKBR
41,VEGFB,NRP1
42,AGT,AGTR2
43,CRH,CRHR2
