,hor_cell_id,hor_cell_name,hor_id,hor_name,hor_ensembl,hor_uniprot,hor_gene_name,rec_id,rec_name,rec_ensembl,rec_uniprot,rec_gene_name,rec_cell_id,rec_cell_name
0,ENC00093,osteoblast,ENH00140,IAPP,ENST00000240652,P10997,IAPP,ENR00898,calcitonin receptor,ENST00000426151,P30988,CALCR,ENC00386,area postrema of pons
1,ENC00174,beta cell of islet of Langerhans,ENH00140,IAPP,ENST00000240652,P10997,IAPP,ENR00898,calcitonin receptor,ENST00000426151,P30988,CALCR,ENC00386,area postrema of pons
2,ENC00093,osteoblast,ENH00140,IAPP,ENST00000240652,P10997,IAPP,ENR00898,calcitonin receptor,ENST00000426151,P30988,CALCR,ENC00161,nucleus accumbens
3,ENC00174,beta cell of islet of Langerhans,ENH00140,IAPP,ENST00000240652,P10997,IAPP,ENR00898,calcitonin receptor,ENST00000426151,P30988,CALCR,ENC00161,nucleus accumbens
4,ENC00093,osteoblast,ENH00140,IAPP,ENST00000240652,P10997,IAPP,ENR00898,calcitonin receptor,ENST00000426151,P30988,CALCR,ENC00096,osteoclast
5,ENC00174,beta cell of islet of Langerhans,ENH00140,IAPP,ENST00000240652,P10997,IAPP,ENR00898,calcitonin receptor,ENST00000426151,P30988,CALCR,ENC00096,osteoclast
6,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00822,5-HT-1A,ENST00000323865,P08908,HTR1A,ENC00182,amygdaloid body
7,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00822,5-HT-1A,ENST00000323865,P08908,HTR1A,ENC00182,amygdaloid body
8,ENC00183,brain stem,ENH00166,serotonin,empty0,empty0,empty0,ENR00822,5-HT-1A,ENST00000323865,P08908,HTR1A,ENC00182,amygdaloid body
9,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00822,5-HT-1A,ENST00000323865,P08908,HTR1A,ENC00182,amygdaloid body
10,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00822,5-HT-1A,ENST00000323865,P08908,HTR1A,ENC00182,amygdaloid body
11,ENC00585,posterior raphe nucleus of midbrain,ENH00166,serotonin,empty0,empty0,empty0,ENR00822,5-HT-1A,ENST00000323865,P08908,HTR1A,ENC00182,amygdaloid body
12,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00822,5-HT-1A,ENST00000323865,P08908,HTR1A,ENC00182,amygdaloid body
13,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00822,5-HT-1A,ENST00000323865,P08908,HTR1A,ENC00182,amygdaloid body
14,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR00822,5-HT-1A,ENST00000323865,P08908,HTR1A,ENC00182,amygdaloid body
15,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR00822,5-HT-1A,ENST00000323865,P08908,HTR1A,ENC00182,amygdaloid body
16,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00182,amygdaloid body
17,ENC00509,raphe nuclei of pontile tegmentum,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00182,amygdaloid body
18,ENC00183,brain stem,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00182,amygdaloid body
19,ENC00252,enterochromaffin cell of gastrointestinal tract,ENH00166,serotonin,empty0,empty0,empty0,ENR01012,5-HT3 receptor,ENST00000375498,P46098,HTR3A,ENC00182,amygdaloid body
